PassengerId,Name,HomePlanet,Destination,Age,AgeGroup,CryoSleep,VIP,Cabin,Deck,CabinNum,Side,Group,GroupSize,IsSolo,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,TotalSpent,HasSpent,SpendCategory,RoomService_Share,FoodCourt_Share,ShoppingMall_Share,Spa_Share,VRDeck_Share,Transported,Pred_Transported,Pred_Proba_Transport,Pred_Proba_NoTransport,Cluster_ID,Cluster_Name,Cluster_Transport_Rate,Cluster_NoTransport_Rate,ACM_Axe1,ACM_Axe2,ACM_Axe3,ACM_Axe4,ACM_Axe5,ACM_Axe6,ACM_Axe7,ACM_Axe8,ACM_Axe9,ACM_Axe10,P_Cluster_0_Cryo_Corps,P_Cluster_1_Colons,P_Cluster_2_Luxuria,P_Cluster_3_Voyageurs_Pro,P_Cluster_4_Jeunes_Nomades,Split,Is_Correct_Prediction
0031_02,Cinets Datie,Mars,TRAPPIST-1e,2.0,0-12,0,0,F/9/P,F,9,P,31,3,0,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,1.0,1,0.97,0.03,4,Jeunes Nomades,0.5341,0.4659,-0.3235,0.113,0.7864,0.1985,0.5663,-0.0972,-0.1851,0.0773,0.0059,0.2278,0.1358,0.1872,0.2152,0.1436,0.3182,Train,1.0
0031_03,Dontch Datie,Mars,TRAPPIST-1e,20.0,13-25,0,0,F/9/P,F,9,P,31,3,0,222,0,1750,990,0,2962,1,Moyen,0.0749,0.0,0.5908,0.3342,0.0,1.0,1,0.7167,0.2833,4,Jeunes Nomades,0.5341,0.4659,-0.0865,-0.6936,0.5844,0.0446,-0.2406,0.049,-0.2487,0.3608,0.1297,-0.0263,0.1173,0.2049,0.1297,0.138,0.4101,Train,1.0
0034_01,Ziba Oingwhedly,Europa,55 Cancri e,28.0,26-40,1,0,D/1/S,D,1,S,34,1,1,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,1.0,1,0.9633,0.0367,3,Voyageurs Pro,0.7333,0.2667,0.7511,0.4175,0.63,0.1818,-0.404,0.5225,-0.0123,-0.1717,0.0548,0.2373,0.1976,0.154,0.1824,0.2416,0.2243,Train,1.0
0035_01,Luse Butte,Mars,55 Cancri e,23.0,13-25,0,0,D/1/P,D,1,P,35,1,1,784,964,0,951,0,2699,1,Moyen,0.2905,0.3572,0.0,0.3524,0.0,0.0,0,0.08,0.92,4,Jeunes Nomades,0.5341,0.4659,0.3657,-0.6424,0.8518,0.5003,-0.7073,0.5902,-0.2896,0.3202,0.4497,0.3912,0.1669,0.1905,0.1639,0.1928,0.2859,Train,1.0
0036_01,Marina Leodger,Earth,55 Cancri e,15.0,13-25,0,0,F/8/S,F,8,S,36,1,1,0,492,48,20,401,961,1,Faible,0.0,0.512,0.0499,0.0208,0.4173,0.0,0,0.12,0.88,1,Colons,0.3,0.7,-0.2926,-0.3455,-0.3927,-0.3878,-0.3171,-0.1552,-0.383,-0.0052,-0.1219,0.0397,0.1206,0.4268,0.1501,0.1405,0.162,Train,1.0
0038_01,Loise Wheelez,Earth,55 Cancri e,20.0,13-25,0,0,F/10/S,F,10,S,38,1,1,554,195,0,2606,0,3355,1,Moyen,0.1651,0.0581,0.0,0.7768,0.0,0.0,0,0.0567,0.9433,1,Colons,0.3,0.7,0.0239,-0.4033,-0.1714,-0.0352,-0.5216,-0.2491,-0.3895,0.1175,0.138,0.1499,0.1358,0.314,0.1548,0.1972,0.1981,Train,1.0
0039_01,Jorgie Batthewitt,Earth,55 Cancri e,30.0,26-40,1,0,G/1/P,G,1,P,39,1,1,0,0,174,0,0,174,1,Faible,0.0,0.0,1.0,0.0,0.0,0.0,0,0.2067,0.7933,2,Luxuria,0.638,0.362,-0.1751,0.3638,-0.3103,0.0904,-0.0726,0.2635,0.0831,0.1908,-0.2404,-0.0891,0.1369,0.2322,0.3338,0.1416,0.1556,Train,1.0
0041_01,Margia Moodsey,Earth,TRAPPIST-1e,17.0,13-25,1,0,G/2/P,G,2,P,41,1,1,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,1.0,1,0.85,0.15,2,Luxuria,0.638,0.362,-0.418,0.6911,0.0062,0.0246,-0.1174,0.1299,0.1,0.2479,0.0508,-0.0507,0.0886,0.1403,0.5439,0.1044,0.1227,Train,1.0
0043_01,Ankalik Cylistrand,Europa,TRAPPIST-1e,45.0,41-60,0,0,B/3/P,B,3,P,43,1,1,0,164,45,2511,855,3575,1,Moyen,0.0,0.0459,0.0126,0.7024,0.2392,0.0,0,0.0567,0.9433,3,Voyageurs Pro,0.7333,0.2667,0.91,-0.2264,0.0054,-0.0958,-0.4468,-0.4439,0.0,0.5515,0.4912,0.4267,0.1678,0.1423,0.1168,0.4219,0.1513,Train,1.0
0044_01,Jodye Coopelandez,Earth,TRAPPIST-1e,55.0,41-60,1,0,G/3/P,G,3,P,44,3,0,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1933,0.8067,2,Luxuria,0.638,0.362,-0.2449,0.6696,0.0558,0.1269,0.0619,-0.0216,-0.0998,0.0882,0.2234,0.3476,0.0795,0.1147,0.6037,0.0947,0.1075,Train,1.0
0044_02,Kayne Coopelandez,Earth,55 Cancri e,4.0,0-12,1,0,G/3/P,G,3,P,44,3,0,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,1.0,1,0.89,0.11,2,Luxuria,0.638,0.362,-0.2639,1.1351,0.0361,0.4069,0.2557,-0.0772,-0.0256,0.1194,0.0891,0.3707,0.1262,0.1468,0.4416,0.1423,0.1431,Train,1.0
0044_03,Cassa Coopelandez,Earth,PSO J318.5-22,21.0,13-25,1,0,G/3/P,G,3,P,44,3,0,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8433,0.1567,2,Luxuria,0.638,0.362,-0.5693,0.8635,-0.2873,0.1799,-0.6025,0.6739,0.1411,-0.0041,-0.0464,-0.0839,0.1462,0.2021,0.3189,0.1616,0.1712,Train,1.0
0045_01,Zelowl Chmad,Mars,TRAPPIST-1e,21.0,13-25,0,0,F/10/P,F,10,P,45,2,0,970,0,180,0,64,1214,1,Faible,0.799,0.0,0.1483,0.0,0.0527,0.0,0,0.0967,0.9033,4,Jeunes Nomades,0.5341,0.4659,-0.403,-0.6358,0.3632,-0.3079,-0.0361,0.1428,-0.2422,0.2382,-0.1302,-0.1365,0.1209,0.2786,0.1445,0.1272,0.3288,Train,1.0
0045_02,Mass Chmad,Mars,TRAPPIST-1e,19.0,13-25,1,0,F/10/P,F,10,P,45,2,0,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,1.0,1,0.98,0.02,4,Jeunes Nomades,0.5341,0.4659,-0.269,0.179,0.8181,-0.376,-0.1195,0.2283,-0.2088,0.2187,-0.1805,-0.2012,0.1279,0.1805,0.1933,0.1499,0.3484,Train,1.0
0050_01,Sony Lancis,Earth,55 Cancri e,35.0,26-40,0,0,E/1/S,E,1,S,50,1,1,790,0,0,308,0,1098,1,Faible,0.7195,0.0,0.0,0.2805,0.0,0.0,0,0.1267,0.8733,1,Colons,0.3,0.7,-0.0603,-0.3727,-0.2727,-0.2438,0.179,-0.2982,0.6189,-0.2911,-0.3339,-0.0237,0.1417,0.3822,0.1488,0.1463,0.1811,Train,1.0
0051_01,Vivia Johnshines,Earth,TRAPPIST-1e,56.0,41-60,0,0,E/2/S,E,2,S,51,1,1,0,112,0,1379,127,1618,1,Faible,0.0,0.0692,0.0,0.8523,0.0785,0.0,0,0.05,0.95,1,Colons,0.3,0.7,-0.2523,-0.4822,-0.1538,-0.2534,0.301,-0.5864,0.445,-0.4053,0.1235,0.4264,0.1419,0.3348,0.1639,0.1547,0.2047,Train,1.0
0052_01,Elaney Hubbarton,Earth,TRAPPIST-1e,28.77,26-40,0,0,G/6/S,G,6,S,52,1,1,4,0,2,4683,0,4689,1,Moyen,0.0009,0.0,0.0004,0.9987,0.0,0.0,0,0.03,0.97,1,Colons,0.3,0.7,-0.0474,-0.1842,-0.1585,0.5383,0.0276,-0.1847,0.2074,-0.0527,0.1813,0.1175,0.1435,0.2883,0.2013,0.1663,0.2006,Train,1.0
0053_01,Elson Hickerson,Earth,TRAPPIST-1e,25.0,13-25,0,0,F/11/S,F,11,S,53,1,1,0,0,1938,0,1,1939,1,Faible,0.0,0.0,0.9995,0.0,0.0005,1.0,1,0.9633,0.0367,1,Colons,0.3,0.7,-0.4894,-0.456,-0.2467,-0.3096,-0.1003,-0.1914,-0.1913,-0.0493,-0.0306,-0.004,0.0985,0.5057,0.1316,0.1089,0.1554,Train,1.0
0056_01,Okulas Tractive,Europa,TRAPPIST-1e,2.0,0-12,0,0,A/1/S,A,1,S,56,3,0,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,1.0,1,0.9333,0.0667,3,Voyageurs Pro,0.7333,0.2667,0.568,0.4334,0.0549,1.099,0.1085,-1.3058,0.1151,-0.1191,-0.4386,0.2914,0.1781,0.1824,0.2069,0.2485,0.1841,Train,1.0
0056_02,Instab Tractive,Europa,TRAPPIST-1e,38.0,26-40,1,0,A/1/S,A,1,S,56,3,0,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,1.0,1,0.9767,0.0233,3,Voyageurs Pro,0.7333,0.2667,0.7908,0.4769,0.1634,0.7145,-0.3032,-0.8796,0.2572,-0.0672,-0.8184,-0.2331,0.1678,0.1571,0.1828,0.3234,0.169,Train,1.0
0056_03,Zinoces Tractive,Europa,TRAPPIST-1e,27.0,26-40,0,0,A/1/S,A,1,S,56,3,0,279,605,3374,286,3,4547,1,Moyen,0.0614,0.1331,0.742,0.0629,0.0007,1.0,1,0.8767,0.1233,3,Voyageurs Pro,0.7333,0.2667,0.9733,-0.3957,-0.0702,1.1351,-0.4242,-1.059,0.2173,0.075,-0.5082,-0.0582,0.1871,0.1871,0.1718,0.2665,0.1876,Train,1.0
0058_01,Warry Ayalazquez,Earth,PSO J318.5-22,36.0,26-40,1,0,G/7/S,G,7,S,58,1,1,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3367,0.6633,2,Luxuria,0.638,0.362,-0.3813,0.8608,-0.2183,0.273,-0.3365,0.5387,0.2884,-0.4469,-0.226,-0.0906,0.1366,0.1812,0.3761,0.1492,0.1569,Train,1.0
0061_01,Shanya Salez,Earth,TRAPPIST-1e,22.0,13-25,0,0,F/12/S,F,12,S,61,1,1,45,1096,148,1377,1,2667,1,Moyen,0.0169,0.4109,0.0555,0.5163,0.0004,0.0,0,0.1267,0.8733,1,Colons,0.3,0.7,-0.1729,-0.5138,-0.0254,0.0429,-0.3047,-0.2852,-0.1978,0.0734,0.2292,0.1062,0.1176,0.3671,0.1459,0.1531,0.2163,Train,1.0
0062_01,Sterry Greeves,Earth,TRAPPIST-1e,62.0,60+,0,0,F/13/S,F,13,S,62,1,1,0,592,0,17,25,634,1,Faible,0.0,0.9338,0.0,0.0268,0.0394,0.0,0,0.22,0.78,1,Colons,0.3,0.7,-0.3423,-0.4833,-0.1715,0.0271,-0.0231,-0.4318,0.0751,-0.2677,1.4202,-1.3725,0.1105,0.4321,0.1466,0.1308,0.1799,Train,1.0
0064_01,,Mars,TRAPPIST-1e,15.0,13-25,1,0,F/14/S,F,14,S,64,2,0,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,1.0,1,0.9867,0.0133,4,Jeunes Nomades,0.5341,0.4659,-0.2492,0.1988,0.8102,-0.4729,-0.1276,-0.0076,-0.2273,-0.1347,-0.1667,-0.1124,0.1294,0.1847,0.1948,0.1616,0.3296,Train,1.0
0064_02,Colatz Keen,Earth,TRAPPIST-1e,33.0,26-40,1,0,E/3/S,E,3,S,64,2,0,0,0,174,0,0,174,1,Faible,0.0,0.0,1.0,0.0,0.0,1.0,1,0.8933,0.1067,1,Colons,0.3,0.7,-0.2452,-0.0836,0.081,-0.2798,0.3,-0.252,0.8529,-0.3663,-0.2994,-0.1187,0.1326,0.2979,0.1908,0.1423,0.2365,Train,1.0
